x0 		 y0 		 x1 		 y1 		 x2 		 y2 		 x3 		 y3
-0.992521	0.429502	-0.979672	0.423942	-0.106295	0.045998	-0.003939	0.001704	
-1.229939	0.486967	-0.912740	0.361379	-0.083742	0.033156	-0.002531	0.001002	
-1.482598	0.533768	-0.831722	0.299438	-0.063709	0.022936	-0.001555	0.000560	
-1.744881	0.566946	-0.739525	0.240286	-0.046562	0.015129	-0.000906	0.000294	
-2.010547	0.584118	-0.639537	0.185803	-0.032468	0.009433	-0.000495	0.000144	
-2.272931	0.583589	-0.535495	0.137492	-0.021399	0.005494	-0.000251	0.000064	
-2.525175	0.564444	-0.431339	0.096416	-0.013155	0.002941	-0.000115	0.000026	
-2.760472	0.526588	-0.331052	0.063152	-0.007399	0.001411	-0.000047	0.000009	
-2.972303	0.470767	-0.238501	0.037775	-0.003694	0.000585	-0.000016	0.000003	
-3.154681	0.398529	-0.157275	0.019868	-0.001556	0.000197	-0.000004	0.000001	
-3.302368	0.312166	-0.090541	0.008559	-0.000503	0.000048	-0.000001	0.000000	
-3.411071	0.214606	-0.040910	0.002574	-0.000101	0.000006	-0.000000	0.000000	
-3.477602	0.109288	-0.010329	0.000325	-0.000006	0.000000	-0.000000	0.000000	
-3.500000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	
-3.477602	-0.109288	-0.010329	-0.000325	-0.000006	-0.000000	-0.000000	-0.000000	
-3.411071	-0.214606	-0.040910	-0.002574	-0.000101	-0.000006	-0.000000	-0.000000	
-3.302368	-0.312166	-0.090541	-0.008559	-0.000503	-0.000048	-0.000001	-0.000000	
-3.154681	-0.398529	-0.157275	-0.019868	-0.001556	-0.000197	-0.000004	-0.000001	
-2.972303	-0.470767	-0.238501	-0.037775	-0.003694	-0.000585	-0.000016	-0.000003	
-2.760472	-0.526588	-0.331052	-0.063152	-0.007399	-0.001411	-0.000047	-0.000009	
-2.525175	-0.564444	-0.431339	-0.096416	-0.013155	-0.002941	-0.000115	-0.000026	
-2.272931	-0.583589	-0.535495	-0.137492	-0.021399	-0.005494	-0.000251	-0.000064	
-2.010547	-0.584118	-0.639537	-0.185803	-0.032468	-0.009433	-0.000495	-0.000144	
-1.744881	-0.566946	-0.739525	-0.240286	-0.046562	-0.015129	-0.000906	-0.000294	
-1.482598	-0.533768	-0.831722	-0.299438	-0.063709	-0.022936	-0.001555	-0.000560	
-1.229939	-0.486967	-0.912740	-0.361379	-0.083742	-0.033156	-0.002531	-0.001002	
-0.992521	-0.429502	-0.979672	-0.423942	-0.106295	-0.045998	-0.003939	-0.001704	
-0.775158	-0.364761	-1.030199	-0.484775	-0.130808	-0.061554	-0.005896	-0.002775	
-0.581719	-0.296401	-1.062673	-0.541459	-0.156553	-0.079768	-0.008533	-0.004348	
-0.415037	-0.228169	-1.076167	-0.591628	-0.182663	-0.100420	-0.011982	-0.006587	
-0.276851	-0.163729	-1.070497	-0.633090	-0.208184	-0.123120	-0.016380	-0.009687	
-0.167799	-0.106489	-1.046206	-0.663943	-0.232125	-0.147311	-0.021856	-0.013870	
-0.087457	-0.059436	-1.004526	-0.682675	-0.253520	-0.172292	-0.028528	-0.019388	
-0.034415	-0.025004	-0.947302	-0.688255	-0.271477	-0.197239	-0.036491	-0.026512	
-0.006396	-0.004961	-0.876898	-0.680192	-0.285239	-0.221254	-0.045814	-0.035537	
-0.000398	-0.000330	-0.796080	-0.658574	-0.294228	-0.243406	-0.056529	-0.046765	
-0.012868	-0.011345	-0.707885	-0.624085	-0.298073	-0.262787	-0.068625	-0.060501	
-0.039883	-0.037452	-0.615485	-0.577979	-0.296638	-0.278562	-0.082044	-0.077044	
-0.077340	-0.077340	-0.522044	-0.522044	-0.290024	-0.290024	-0.096675	-0.096675	
-0.121148	-0.129010	-0.430584	-0.458525	-0.278562	-0.296638	-0.112350	-0.119641	
